iter	Passed	Remaining
0	0	62
1	1	58
2	1	55
3	2	52
4	2	53
5	3	55
6	4	53
7	4	53
8	5	52
9	5	51
10	6	50
11	6	50
12	7	49
13	7	48
14	8	48
15	9	47
16	9	47
17	10	46
18	10	45
19	11	45
20	11	44
21	12	43
22	12	43
23	13	42
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	39
31	18	38
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	23	34
40	23	33
41	23	32
42	24	32
43	25	31
44	25	31
45	26	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	30	26
54	31	25
55	31	25
56	32	24
57	33	24
58	33	23
59	34	22
60	35	22
61	35	21
62	36	21
63	36	20
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	42	15
73	42	14
74	43	14
75	43	13
76	44	13
77	45	12
78	45	12
79	46	11
80	46	11
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	52	5
90	52	5
91	53	4
92	53	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	57	0
99	58	0
